I am the life of the party.,I feel little concern for others.,I am prepared.,I get stressed out easily.,I have a rich vocabulary.,I don't talk a lot.,I am interested in people.,I leave my belongings around.,I am relaxed most of the time.,I have difficulty understanding abstract ideas.,I feel comfortable around people.,I insult people.,I pay attention to details.,I worry about things.,I have a vivid imagination.,I keep in the background.,I sympathize with others' feelings.,I make a mess of things.,I seldom feel blue.,I am not interested in abstract ideas.,I start conversations.,I am not interested in other people's problems.,I get chores done right away. ,I am easily disturbed.,I have excellent ideas.,I have little to say.,I have a soft heart.,I forget to put things back in their proper place.,I get upset easily.,I do not have a good imagination.,I talk to a lot of different people at parties.,I am not really interested in others.,I like order.,I change my mood a lot.,I am quick to understand things.,I don't like to draw attention to myself.,I take time out for others.,I shirk my duties.,I have frequent mood swings.,I use difficult words. ,I don't mind being the center of attention.,I feel others' emotions.,I follow a schedule.,I get irritated easily.,I spend time reflecting on things.,I am quiet around strangers.,I make people feel at ease. ,I am exacting in my work. ,I often feel blue.,I am full of ideas.,"In between 75 and 150 words, please describe your personality in free text."
Disagree,Disagree,Strongly Agree,Agree,Agree,Neutral,Neutral,Strongly Disagree,Agree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Neutral,Disagree,Neutral,Agree,Strongly Disagree,Agree,Disagree,Agree,Neutral,Strongly Agree,Neutral,Neutral,Disagree,Neutral,Strongly Disagree,Disagree,Neutral,Neutral,Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Neutral,Disagree,Neutral,Strongly Agree,Disagree,Agree,Agree,Neutral,Strongly Agree,Disagree,Agree,"I'm fairly open to new ideas and experiences. I can consider both parties' opinions and form my own judgements. I'm extremely conscientious. I never miss deadlines or fail to complete a task I start. I like my house clean and life in order. I'm pretty introverted. I don't really like meeting new people or being in large crowds. BUT I'm not shy per se. I can be pretty chatty among people I know. I'm pretty agreeable, but I'm probably not as empathetic or sympathetic as I should be. I'm not really a people person, I guess, but I think others would say differently. I used to be fairly neurotic but would no longer describe myself as such. My moods are pretty stable these days, though I can get easily overwhelmed sometimes. "
Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Neutral,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,"I believe that I'm a moderately introverted person, but within small groups of people in which I feel comfortable I am engaging and funny. I am fairly analytical but do value and take emotions into consideration in my interactions with others. I do struggle with depression and anxiety, and when I'm at my worst I am sometimes overly critical with others as a reflection of how I'm feeling about myself. I try to actively curb this behavior but am not always successful. "
Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Disagree,Neutral,Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"I put my all into my work and am dedicated to my family. This dedication to others sometimes results in putting things off that benefit myself, such as self-care and housecleaning. This lack of prioritization can result in my frustration, but I do continue to put others first and work hard toward my career goals. I am very kind, caring, and focused."
Neutral,Strongly Disagree,Neutral,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Neutral,Neutral,"I am a dichotomy. I frequently declare how much I hate people, and yet I am drawn to them - in their struggles, I often find myself dedicating hours of research and/or thought to assist. I am happy with my lot in life, and yet my sleep is often delayed hours by my rehashing old wounds and what-ifs. I consider myself an extroverted introvert. I prefer to spend my time alone with my spouse and pets but when I do go out I am an animated conversationalist. I connect quite easily with people, and most often regret adding another person to worry about, upon hearing a new person's story. I am extremely creative in all manners of endeavors from embroidery to painting to singing, but I get bored easily. My personality seems to me to be a study in opposites."
Disagree,Disagree,Agree,Agree,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,I am very talkative with people that I know well. I rarely go out of my way to talk to strangers and I don't like meeting new people. I am very caring and empathetic towards others. I like things done orderly and predictably. I like to make other's know how I feel about them (almost always in a positive way). I am very close to my family. Socializing is ideal in small doses and then I am ready for a break unless it is with very close friends or family. 
Disagree,Disagree,Disagree,Agree,Agree,Disagree,Neutral,Strongly Agree,Disagree,Disagree,Disagree,Agree,Neutral,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Neutral,Agree,Neutral,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,"I am generally kind to people and have integrity. I am a generally uptight, socially anxious person that tries to pretend that I am not. My desire to be good, organized, productive and clean, far exceeds what I am actually able to accomplish. At times I am the life of the party but often I would rather be alone."
Neutral,Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Neutral,Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Neutral,Agree,Disagree,Agree,"My personality is one that would probably fall into the introverted category. I have social anxiety especially in big groups and around people I dont know. I over think what others are thinking about me . Despite this, I have strong opinions and am highly intelligent. Once I get to know someone and open up around them, I can be fairly easy going and funny. Some tell me I'm OCD about certain things and have ADD at times. I am kind hearted once you know me but can put out a hardened aggressive vibe to those I don't know. That vibe is misguided as its really just my social anxiety preventing me from opening up at first. "
Disagree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Disagree,Agree,Disagree,Neutral,Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Neutral,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Neutral,Disagree,Agree,"I definitely do not skew towards the extremely in either direction when it comes to my personality. I am more in the center of the road. I can sometimes start conversations, but am also often fine sitting back and listening without having to talk incessantly to feel heard. I would say that I am mostly an introvert but that recently I have been trying to be more of an extrovert and have found myself putting myself into situations that make me ""take the jump"" and start talking to others."
Strongly Agree,Strongly Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Disagree,Disagree,Strongly Disagree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,"I try to be calm, kind and welcoming to new people and to the people I hold dear to me. Though sometimes I can be sarcastic and I don’t always know if my words are offensive and I end up saying something that may hurt someone’s feelings. In other cases though I’d consider me decent. "
Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Neutral,Agree,Strongly Agree,Disagree,Strongly Agree,It's very important to me and this is the way to covered many peoples and attracted
Neutral,Disagree,Disagree,Strongly Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Agree,Agree,"i am a free spirit who sometimes cares about others too much or sometimes not at all. my moods change frequently and i am often angered or annoyed quite easily. i can be quite a talker and can talk someone’s ear off very easily. however,  i can what be very quiet and reserved and to my self and not speak to anyone. at a party i typically talk to everyone and not just one type of person. i can be everyone’s friend or no ones friend at all."
Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,"I’m a hard worker; I believe nothing is ever handed to you so you have to go get it. I worked hard to get to this point of my life and working even harder to get to the successful and graduate part of my life. I care more for some others than I do myself but I have a huge nonchalant attitude. I don’t really show anger or sadness much I always smile because I’m optimistic about life. I look at life as if something bad comes along, no need to dwell on it you can’t take it back so just move-on and improve what you did wrong if it’s possible. I was taught to be caring and thoughtful; I wasn’t taught anything else from anyone other than not to trust people. I’m the odd ball of my family because I am nothing like anyone. I can say I was also taught to believe in myself and never down myself because I can accomplish anything. That is shown through my determination and hard work because if I didn’t believe in myself I wouldn’t try as hard.  Last but not all, Humanistic approach sums up my personality a little more than psychodynamic does because it involves nature vs. nurture and that kind of sums it up just saying that. Environment and Heredity is kind of the main reasons of my attitudes and actions. In the article, Time-Limited Psychodynamic Psychotherapy, Briggs conducts different forms of psychotherapy techniques to prove whether things in an adolescent’s life effect different adolescents differently. His study was a success and proved that many adolescents have different interpretations on the same issue."
Agree,Agree,Strongly Agree,Neutral,Agree,Disagree,Agree,Neutral,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Neutral,Disagree,Strongly Disagree,Agree,Neutral,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Neutral,Agree,Agree,"I was taught to be caring and thoughtful; I wasn’t taught anything else from anyone other than not to trust people. I’m the odd ball of my family because I am nothing like anyone. I can say I was also taught to believe in myself and never down myself because I can accomplish anything. That is shown through my determination and hard work because if I didn’t believe in myself I wouldn’t try as hard.  Last but not all, Humanistic approach sums up my personality a little more than psychodynamic does because it involves nature vs. nurture and that kind of sums it up just saying that. Environment and Heredity is kind of the main reasons of my attitudes and actions. In the article, Time-Limited Psychodynamic Psychotherapy, Briggs conducts different forms of psychotherapy techniques to prove whether things in an adolescent’s life effect different adolescents differently. His study was a success and proved that many adolescents have different interpretations on the same issue. He read them off different problems and wanted to see how they would interpret them. He used children in the age groups of 12-17 and it worked out. I think that the different approaches can be brought together in some circumstances but in my case it doesn’t. My personality makes more sense coming from the humanistic approach.
"
