I am the life of the party.,I feel little concern for others.,I am prepared.,I get stressed out easily.,I have a rich vocabulary.,I don't talk a lot.,I am interested in people.,I leave my belongings around.,I am relaxed most of the time.,I have difficulty understanding abstract ideas.,I feel comfortable around people.,I insult people.,I pay attention to details.,I worry about things.,I have a vivid imagination.,I keep in the background.,I sympathize with others' feelings.,I make a mess of things.,I seldom feel blue.,I am not interested in abstract ideas.,I start conversations.,I am not interested in other people's problems.,I get chores done right away. ,I am easily disturbed.,I have excellent ideas.,I have little to say.,I have a soft heart.,I forget to put things back in their proper place.,I get upset easily.,I do not have a good imagination.,I talk to a lot of different people at parties.,I am not really interested in others.,I like order.,I change my mood a lot.,I am quick to understand things.,I don't like to draw attention to myself.,I take time out for others.,I shirk my duties.,I have frequent mood swings.,I use difficult words. ,I don't mind being the center of attention.,I feel others' emotions.,I follow a schedule.,I get irritated easily.,I spend time reflecting on things.,I am quiet around strangers.,I make people feel at ease. ,I am exacting in my work. ,I often feel blue.,I am full of ideas.,"In between 75 and 150 words, please describe your personality as it relates to the 5 personality traits outlined above. Be sure not to use the name of the personality traits themselves in your response."
Disagree,Disagree,Neutral,Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Agree,Strongly Disagree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Neutral,"I would say my personality is definitely introverted. I will be close with a very small circle and very comfortable with those people. I also have a tendency to be a bit of a contrarian.. I have always been very open to new experiences and trying mostly anything within reason once. I can be very emotional, much of the many would say overly emotional.  I would prefer things to be convenient and easy, rather than worrying so much about clean."
Disagree,Strongly Disagree,Agree,Agree,Disagree,Neutral,Disagree,Strongly Disagree,Neutral,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Neutral,Disagree,Strongly Disagree,Disagree,Neutral,Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Disagree,"In general I'm a fairly quiet person in a group and I do not like being the center of attention or being called out. In my own home I'm on top of chores, schedules, and other things that need done, including all of the kids schooling since we homeschool our 8 children. I dislike loud situations and will typically avoid them. My family is most important to me and I spend most of my time at home with them, but I also like being with my friends and laughing. I tend to actually be a pretty funny person when in a group of people I am comfortable with."
Neutral,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Disagree,Agree,"As a matter of fact, the trait to which I belong has to be deep in the grays. In the sense that I have a generally neutral approach and reaction to a lot of things. I do not exhibit rash behavior or very passive ones. I like to think that I behave in the most level headed way a situation typically demands. I avoid high highs and low lows. It is just how I function in general"
Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,"I am very outgoing. I like to talk to a lot of people about different things.  I like harmony but when I have conflict with someone, I approach the person with respect despite the difference in opinions I may have with the person.

I feel other people's emotion. I can sense what they feel and feel empathy.  I do not use my feelings when I make decisions.  I try to be fair.

I am welcoming and accepting others. I am interested in hearing their experiences and I accept the differences with respect."
Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,"I believe that my personality tends to fall along the lines of the agreeableness. The reason being, I don't like awkward conversations where there are disagreements. Not because I dont like to defend my opinion, but because I don't like the feeling of always having this in the back of my mind when I speak to someone in the future. Its almost as if this one thing makes you not like each other. I like to get along with others and tend to just nod or agree with much of what they say even if I dont. I wish I wasn't like this as much but I have found it an easier way to navigate the world."
Neutral,Disagree,Disagree,Agree,Strongly Agree,Neutral,Agree,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Strongly Agree,Disagree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Strongly Agree,"The way I would describe my personality is that would depend on my environment. If I feel comfortable in a environment; I will tend to let my true personality show as well as my feelings , if I am in a place where I am somewhat uncomfortable, I tend to try to conform to the setting to get along with others and avoid any confrontations. However , I have a very opinionated personality and will speak and stick up for my beliefs no matter the environment. I have a strong moral compass and although I tend to not get along with authority figures , I respect them as long as they respect my rights and freedoms.  i would say I have very liberal viewpoints that form my personality and point of view. "
Disagree,Disagree,Agree,Neutral,Agree,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Strongly Agree,Neutral,Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,I'm a shy and question people as I don't just agree to ideas I don't understand or agree with. I'm a anxious person but open to new things and ideas depending on what it is.
Disagree,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Neutral,Agree,Disagree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Neutral,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,I day dream a lot thinking about my future. As a person I find it hard to say no to someone and end up doing things that I would not have done if not provided with the option. I overthink about most of the things and tend to think a lot about what others are going to think if I do this or if I say this.
Agree,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Agree,To freakily speak  most of things  similarly connecting my self of this questions i am exiting of new things in my life and my around  and like  to lead new ideates and   new information for my work  
Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Neutral,Neutral,Strongly Disagree,Disagree,Strongly Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Neutral,Disagree,Disagree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Neutral,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Neutral,"I am fairly reserved and emotionally distant in situations with strong negative emotions, i enjoy people one on one but hate crowds, groups and “groupthink.”
I internalize stress very much but am outwardly calm so can be a doormat i guess. Orders and routines help my anxiety level, I’m very irritated with interruptions and mess. I prefer to do my tasks alone bec i do daydream and travel in my mind."
Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,"I have always been quite introverted, keeping to myself mostly. I enjoy conversations with close fronds but struggle one on one with strangers or with strong negative emotions. I enjoy learning new things quite a bit but struggle with anxiety of new experiences and situations so much that a don’t go out much. I do really like people one on one so in my work i meet a lot of different people and hearing life stories and experiences does brighten my day. I internalize my stress so can be quite irritable and angry with disrupted routines. I hope this helps you."
Agree,Strongly Disagree,Agree,Disagree,Agree,Neutral,Agree,Neutral,Disagree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Neutral,Strongly Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,I am more of an extrovert than I used to be. I am quite agreeable and can adjust my personality to the current social situation. I'm a very hard worker with very good attention to detail. I have a high tolerance for stressful situations and sometimes seek challenging tasks. I'm incredibly open to new experiences as long as I'm not doing something to endanger myself or others.
Neutral,Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Disagree,Agree,Neutral,Strongly Agree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,"I like forming deeper connections with people, so don’t like parties that much. I like to make other people comfortable and situations and know when not to say things that will be hurtful. I am someone who cares a lot about the impact I’m leaving on others and takes pride in everything I do. This means that I work really hard and my job and relationships. I have issues with anxiety but not depression. I am very creative and I love to think about important social problems and how to fix them."
Disagree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Neutral,Agree,Strongly Agree,Neutral,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,"I have anxiety, but will try to come out of my shell around people.  I like to stay in the background and observe people, even among my closest friends.  I worry about conversations that I have had and wonder if I said the right things.  I take things quite personally, feeling slighted when I shouldn't."
Neutral,Strongly Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Disagree,Neutral,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Neutral,Agree,Strongly Disagree,Neutral,Strongly Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Disagree,Strongly Agree,"there are times when I like to talk to people more than others, when in social environment usually talk a lot and show interest in peoples lives and things that they do. I like to talk to people who I have a lot in common and also agree a lot when I hear things that really resonate with me. I tend to feel a and sympathize a lot when I talk to people and hear what they go through , I can almost feel their pain. I love learning new things and constantly reading a seeking for ways to better myself and have a better understanding about the things I go through, although many times I see myself with some mood swings "
